Depth,P,T,Seal Thickness,Fault,Secure
1,1,0,1,1,1
0,0,0,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,0,1
0,0,0,1,1,1
0,0,1,1,1,1
1,1,1,,,1
1,,,1,0,1
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,,0,1
1,1,1,,,1
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,1,0,1
1,1,1,,1,1
1,0,1,1,0,1
1,1,1,1,0,1
0,0,0,1,,1
0,1,1,1,0,1
1,1,1,,,1
1,1,1,1,1,1
1,1,1,,,1
1,1,1,1,0,1
1,1,1,,1,1
1,1,1,1,0,1
1,1,1,,0,1
1,1,1,,0,1
1,1,1,1,1,1
1,1,1,1,0,1
1,1,1,,0,1
1,1,1,,1,1
1,1,1,1,1,0
1,,1,,0,0
1,1,1,1,0,0
1,1,1,1,0,0
0,0,1,1,0,0
